input,label
"Hello how are you?",normal
"Just checking in to see how things are.",normal
"Can we meet at 5 PM?",normal
"Good morning have a nice day!",normal
"Thank you for your help.",normal
"See you later.",normal
"I'll call you tomorrow.",normal
"Let's catch up soon.",normal
"Please send me the report by EOD.",normal
"Happy birthday!",normal
"What's your plan for the weekend?",normal
"How's the project going?",normal
"Congratulations on your promotion!",normal
"Let me know if you need any assistance.",normal
"Have a safe trip!",normal
